User Id,First Name,Last Name,Version,Insurance Company
1,Michael,Daniel,1,Company A
1,Michael,Daniel,2,Company A
2,Jane,Smith,1,Company B
3,Bob,Johnson,1,Company A
4,Alice,Jones,2,Company B
5,Charlie,Brown,1,Company C
6,David,Williams,1,Company A
7,Allen,Miller,1,Company B
8,George,Anderson,3,Company C
9,Fiona,Johnson,2,Company A
10,Harry,Davis,1,Company B
11,Irene,Clark,2,Company C
12,Michael,Daniel,2,Company A
13,Alice,Jones,1,Company B
14,Fiona,Johnson,1,Company C
15,Bob,Johnson,2,Company A
16,Charlie,Brown,2,Company B
17,David,Williams,2,Company C
18,Allen,Miller,2,Company A
19,George,Anderson,1,Company B
20,Harry,Davis,2,Company C
